j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
1.25	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.375	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.5	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.625	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.75	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
1.875	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	4.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.0	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.125	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.25	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.375	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.5	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.625	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.75	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
2.875	3.0	1.0	['G4', 'B4', 'D5']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	5.0	('G', 'B', 'D')	G	B	D	G	G	0.0	maj	(2, 7, 11)	G	G	1	None	False	['G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D', 'G', 'B', 'D']	0.0	0.0	0.0	0.0
3.0	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[True, True, True, True]	2.0	2.0	1.0	V7	0.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.125	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	1.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.25	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	2.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.375	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	2.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.5	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	3.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.625	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	3.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.75	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	3.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
3.875	2.0	2.0	['F#5', 'A5', 'C6', 'D6']	['m3', 'd5', 'm6']	[False, False, False, False]	2.0	2.0	1.0	V7	3.0	('F#', 'A', 'C', 'D')	F#	A	C	D	D	1.0	7	(0, 2, 6, 9)	G	G	5	None	False	['F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D', 'F#', 'A', 'C', 'D']	0.0	0.0	0.0	0.0
